Team_ID,Team,Played,Won,Lost,Tied,SD,Points,Win
1,Dabang Delhi K.C. (Q),22,17,3,2,118,93,0
2,U Mumba (Q),22,15,5,2,189,86,0
3,Dabang Delhi K.C. (Q),22,11,9,2,-1,68,0
4,Puneri Paltan,22,8,12,2,-45,52,0
5,Jaipur Pink Panthers,22,6,13,3,-69,43,0
6,Haryana Steelers,22,6,14,2,-91,42,0
7,Bengaluru Bulls (Q),22,13,7,2,104,78,0
8,Bengal Warriors (Q),22,12,8,2,2,69,1
9,U.P. Yoddha (Q),22,8,10,4,-45,57,0
10,Patna Pirates,22,9,11,2,-10,55,0
11,Telugu Titans,22,8,13,1,-55,51,0
12,Tamil Thalaivas,22,5,13,4,-70,42,0
